"","Year","sex","age_range","count"
"1","2000","m","00-14","0"
"2","2000","m","15-24","0"
"3","2000","m","35-44","1"
"4","2000","m","35-44","0"
"5","2000","m","00-14","2"
"6","2000","m","15-24","4"
"7","2000","m","35-44","4"
"8","2000","m","35-44","5"
"9","2000","m","00-14","52"
"10","2000","m","15-24","228"
"11","2000","m","35-44","183"
"12","2000","m","35-44","149"
"13","2000","m","00-14","0"
"14","2000","m","15-24","0"
"15","2000","m","35-44","0"
"16","2000","m","35-44","0"
"17","2000","m","00-14","2"
"18","2000","m","15-24","19"
"19","2000","m","35-44","21"
"20","2000","m","35-44","15"
"21","2000","m","00-14","2"
"22","2000","m","15-24","152"
"23","2000","m","35-44","130"
"24","2000","m","35-44","131"
"25","2000","m","00-14","0"
"26","2000","m","15-24","0"
"27","2000","m","35-44","1"
"28","2000","m","35-44","0"
"29","2000","m","00-14","186"
"30","2000","m","15-24","999"
"31","2000","m","35-44","1003"
"32","2000","m","35-44","508"
"33","2000","m","00-14","97"
"34","2000","m","15-24","278"
"35","2000","m","35-44","594"
"36","2000","m","35-44","221"
